n2_id,x_n2,y_n2,ra_n2,dec_n2,mag_n2,n2_err,apert_n2,cps,correct_cps,mag_n2_correc,n2-v_1,xcd_n2,ycd_n2,r_n2,phi_n2,theta_n2,age,log(Z),mass,logl,logt,logg,phase,composition,log(weight),V,U,B,R,I,FUV,NUV,caf2,baf2,sapph,silica,nuv_silica,b15,b13,b4,n2,aFUV,aNUV,aV,aI,fuv-nuv,fuv-v,nuv-v,fuv-i,nuv-i,acaf2,an2,asapph,caf2-n2,sapph-n2,caf2-sapph,caf2-v,sapph-v,n2-v_2,V-I,Separation
110,757.489,1198.783,13.366287,-26.658689,19.135,0.037,18.935,0.1023292992,0.1025121606,18.933,2.529,2.3701,-0.6765,2.4647,344.0695,254.0695,9.35,-2.9208,1.34492898,1.2146,3.7965,3.4832,0,0.4787,-3.8753,1.744,2.85,2.051,1.65,1.618,10.591,5.087,10.87,10.217,9.888,8.368,4.824,5.308,4.963,4.461,4.229,25.359,19.855,16.512,16.386,5.504000000000001,8.847000000000001,3.343,8.973000000000003,3.469000000000001,25.637999999999998,18.997,24.656,6.640999999999998,5.658999999999999,0.9819999999999993,9.125999999999998,8.143999999999998,2.4849999999999994,0.12600000000000122,0.07766551097603967
3715,2236.498,2402.562,13.133747,-26.583628,19.661,0.062,19.461,0.0630376479,0.0631069784,19.46,2.198,0.447,-0.8408,0.9523,297.9969,207.9969,9.7,-2.9208,1.06313205,0.8723,3.8297,3.856,0,0.4787,-3.2652,2.558,3.601,2.778,2.52,2.535,9.793,5.501,9.953,9.408,9.082,7.729,5.292,5.677,5.377,4.974,4.78,24.561,20.269000000000002,17.326,17.303,4.291999999999998,7.234999999999999,2.9430000000000014,7.257999999999999,2.966000000000001,24.721,19.548000000000002,23.85,5.172999999999998,4.302,0.8709999999999987,7.395,6.524000000000001,2.2220000000000013,0.022999999999999687,0.09121492932036288
158,2142.953,1341.085,13.19081,-26.696061,20.561,0.072,20.361,0.0275169313,0.0275301311,20.36,2.093,0.1708,-0.4536,0.4847,290.6351,200.6351,9.75,-2.9208,0.97173083,0.493,3.8458,4.2608,0,0.4787,-2.93,3.509,4.516,3.698,3.485,3.516,10.106,6.246,10.235,9.728,9.404,8.128,6.058,6.402,6.123,5.762,5.59,24.874000000000002,21.014000000000003,18.277,18.284,3.8599999999999994,6.597000000000001,2.737000000000002,6.590000000000003,2.730000000000004,25.003,20.358,24.172,4.645,3.814,0.8309999999999995,6.725999999999999,5.895,2.0809999999999995,-0.006999999999997897,0.012165561449703403
2032,2177.619,2169.416,13.150966,-26.606859,19.722,0.07,19.522,0.0595936519,0.0596556088,19.521,2.09,0.5564,-0.4484,0.7146,321.1318,231.1318,9.65,-2.9208,1.08370304,0.8288,3.8619,4.0365,0,0.4787,-3.0235,2.649,3.672,2.786,2.665,2.712,8.763,5.321,8.874,8.413,8.092,6.94,5.15,5.468,5.198,4.869,4.71,23.531,20.089,17.417,17.48,3.442,6.113999999999997,2.671999999999997,6.050999999999998,2.608999999999998,23.642000000000003,19.478,22.86,4.1640000000000015,3.381999999999998,0.7820000000000036,6.225000000000001,5.442999999999998,2.061,-0.06299999999999883,0.05186508602422763
2815,2187.947,2274.95,13.145168,-26.59572,20.813,0.087,20.613,0.0218172496,0.0218255463,20.613,2.138,0.9623,-0.2828,1.003,343.6243,253.6243,9.85,-2.9208,0.92008972,0.4174,3.8307,4.2522,0,0.4787,-3.3501,3.709,4.715,3.934,3.667,3.679,10.779,6.553,10.937,10.39,10.065,8.708,6.347,6.721,6.431,6.035,5.848,25.547,21.321,18.477,18.447,4.225999999999999,7.07,2.844000000000001,7.100000000000001,2.8740000000000023,25.705,20.616,24.833,5.088999999999999,4.216999999999999,0.8719999999999999,7.227999999999998,6.355999999999998,2.1389999999999993,0.030000000000001137,0.0031614489340413845
4577,2319.288,2595.513,13.115333,-26.565704,20.09,0.072,19.89,0.0424619564,0.0424933989,19.889,1.948,1.0108,-0.2302,1.0367,347.1694,257.1694,9.2,-2.9208,1.14851093,0.5764,3.8865,4.4135,0,0.4787,-2.6643,3.306,4.24,3.382,3.366,3.437,8.545,5.64,8.656,8.238,7.92,6.918,5.496,5.761,5.526,5.249,5.12,23.313000000000002,20.408,18.074,18.205000000000002,2.905000000000001,5.239000000000001,2.3339999999999996,5.1080000000000005,2.2029999999999994,23.424,19.888,22.688000000000002,3.535999999999998,2.8000000000000007,0.7359999999999971,5.349999999999998,4.614000000000001,1.814,-0.13100000000000023,0.1340036850607814
1557,1143.926,2090.327,13.280726,-26.576017,20.516,0.072,20.316,0.0286813771,0.0286957181,20.315,1.883,1.5701,0.3881,1.6173,13.884,283.884,9.0,-2.9208,1.11652803,0.4562,3.8694,4.453,0,0.4787,-2.3667,3.599,4.565,3.725,3.626,3.674,9.4,6.092,9.505,9.051,8.73,7.598,5.93,6.227,5.971,5.662,5.517,24.168,20.86,18.367,18.442,3.308,5.800999999999998,2.4929999999999986,5.725999999999999,2.4179999999999993,24.273000000000003,20.285,23.498,3.988000000000003,3.213000000000001,0.7750000000000021,5.906000000000002,5.131,1.9179999999999993,-0.07499999999999929,0.0460980575390115
3134,1386.196,2318.552,13.2413,-26.560329,20.781,0.084,20.581,0.022469841,0.0224786417,20.581,2.075,0.546,1.5084,1.6042,70.1004,340.1004,9.7,-2.9208,0.96689135,0.4045,3.8424,4.334,0,0.4787,-2.5267,3.735,4.734,3.933,3.705,3.731,10.409,6.477,10.543,10.028,9.703,8.408,6.286,6.635,6.355,5.987,5.813,25.177,21.245,18.503,18.499000000000002,3.9319999999999986,6.6739999999999995,2.742000000000001,6.677999999999997,2.7459999999999987,25.311,20.581,24.471,4.73,3.8900000000000006,0.8399999999999999,6.808,5.968,2.0779999999999994,0.003999999999997783,0.0029999523815160043
178,1902.836,1396.123,13.217796,-26.680874,20.115,0.066,19.915,0.0414954043,0.0415254309,19.914,1.954,1.3457,1.3829,1.9296,45.7807,315.7807,9.5,-2.9208,1.08684826,0.6037,3.8748,4.3151,0,0.4787,-3.3119,3.225,4.197,3.331,3.268,3.325,8.893,5.709,8.999,8.557,8.237,7.147,5.552,5.842,5.589,5.288,5.145,23.661,20.477,17.993000000000002,18.093,3.184000000000001,5.667999999999999,2.483999999999998,5.568000000000001,2.3840000000000003,23.767000000000003,19.913,23.005000000000003,3.8540000000000028,3.0920000000000023,0.7620000000000005,5.774000000000001,5.0120000000000005,1.9199999999999982,-0.09999999999999787,0.03401468588399385
4616,1700.089,2606.652,13.190546,-26.540834,20.62,0.121,20.42,0.0260615355,0.0260733755,20.42,2.01,-1.203,0.1723,1.2153,171.8479,81.8479,9.45,-2.9208,1.04052329,0.4335,3.857,4.3952,0,0.4787,-2.4545,3.655,4.645,3.818,3.653,3.69,9.867,6.275,9.981,9.5,9.178,7.966,6.1,6.421,6.153,5.818,5.66,24.635,21.043,18.423000000000002,18.458000000000002,3.5920000000000023,6.212,2.6199999999999974,6.177,2.5849999999999973,24.749000000000002,20.428,23.946,4.3210000000000015,3.5180000000000007,0.8030000000000008,6.3260000000000005,5.523,2.004999999999999,-0.03500000000000014,0.009433911380513292
